id,Artist,Song Title,Year,Rank,Genre
1,Johnny Horton,The Battle Of New Orleans,1959.0,1,Country
2,Bobby Darin,Mack The Knife,1959.0,2,Pop
3,Lloyd Price,Personality,1959.0,3,R&B/Pop
4,Frankie Avalon,Venus,1959.0,4,Pop
5,Paul Anka,Lonely Boy,1959.0,5,Pop
6,Bobby Darin,Dream Lover,1959.0,6,Pop
7,Browns,The Three Bells,1959.0,7,Country
8,Fleetwoods,Come Softly To Me,1959.0,8,Pop
9,Wilbert Harrison,Kansas City,1959.0,9,R&B
10,Fleetwoods,Mr. Blue,1959.0,10,Pop
11,Paul Anka,Put Your Head On My Shoulder,1959.0,12,Pop
12,Lloyd Price,Stagger Lee,1959.0,13,R&B/Pop
13,Ritchie Valens,Donna,1959.0,14,Rock and Roll
14,Dodie Stevens,Pink Shoelaces,1959.0,15,Pop
15,Platters,Smoke Gets In Your Eyes,1959.0,16,R&B/Pop
16,Coasters,Charlie Brown,1959.0,17,R&B/Rock and Roll
17,Martin Denny,Quiet Village,1959.0,18,Exotica/Jazz
18,Carl Dobkins Jr.,My Heart Is An Open Book,1959.0,19,Pop
19,Everly Brothers,('Til) I Kissed You,1959.0,20,Rock and Roll/Country
20,Percy Faith,"Theme From ""A Summer Place""",1960.0,1,Orchestral/Pop
21,Jim Reeves,He'll Have To Go,1960.0,2,Country
22,Everly Brothers,Cathy's Clown,1960.0,3,Rock and Roll/Country
23,Johnny Preston,Running Bear,1960.0,4,Rock and Roll
24,Mark Dinning,Teen Angel,1960.0,5,Pop
25,Brenda Lee,I'm Sorry,1960.0,6,Pop/Country
26,Elvis Presley,It's Now Or Never,1960.0,7,Rock and Roll
27,Jimmy Jones,Handy Man,1960.0,8,R&B/Rock and Roll
28,Elvis Presley,Stuck On You,1960.0,9,Rock and Roll
29,Chubby Checker,The Twist,1960.0,10,Rock and Roll
30,Connie Francis,Everybody's Somebody's Fool,1960.0,11,Pop
31,Bobby Rydell,Wild One,1960.0,12,Pop/Rock and Roll
32,Brothers Four,Greenfields,1960.0,13,Folk
33,Jack Scott,What In The World's Come Over You,1960.0,14,Rock and Roll/Country
34,Marty Robbins,El Paso,1960.0,15,Country
35,Hollywood Argyles,Alley Oop,1960.0,16,Novelty/Rock
36,Connie Francis,My Heart Has A Mind Of Its Own,1960.0,17,Pop
37,Brenda Lee,Sweet Nothin's,1960.0,18,Pop/Country
38,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960.0,19,Pop
39,Roy Orbison,Only The Lonely,1960.0,20,Rock/Pop
40,Bobby Lewis,Tossin' And Turnin',1961.0,1,R&B/Rock and Roll
41,Patsy Cline,I Fall To Pieces,1961.0,2,Country/Pop
42,Roy Orbison,Cryin',1961.0,4,Rock/Pop
43,Chubby Checker,Pony Time,1961.0,7,Rock and Roll
44,String-a-longs,Wheels,1961.0,8,Instrumental Pop
45,Dee Clark,Raindrops,1961.0,9,R&B/Soul
46,Bobby Vee,Take Good Care Of My Baby,1961.0,12,Pop
47,Roy Orbison,Running Scared,1961.0,13,Rock/Pop
